指标,排名,股票代码,股票名称,行业,指标值,单位,排序方向,说明
市净率最低（仅正值）,20,600248.SH,陕建股份,房屋建设,0.4,倍,ASC,低估值候选；金融、地产与重资产行业需分行业比较
股息率最高,1,603165.SH,荣晟环保,造纸,13.92,%,DESC,收益指标；需检查分红可持续性
股息率最高,2,600219.SH,南山铝业,工业金属,13.63,%,DESC,收益指标；需检查分红可持续性
股息率最高,3,600329.SH,达仁堂,中药,13.29,%,DESC,收益指标；需检查分红可持续性
股息率最高,4,600398.SH,海澜之家,服装家纺,11.43,%,DESC,收益指标；需检查分红可持续性
股息率最高,5,002763.SZ,汇洁股份,服装家纺,10.4,%,DESC,收益指标；需检查分红可持续性
股息率最高,6,002572.SZ,索菲亚,家居用品,10.13,%,DESC,收益指标；需检查分红可持续性
股息率最高,7,300406.SZ,九强生物,生物制品,8.91,%,DESC,收益指标；需检查分红可持续性
股息率最高,8,601717.SH,中创智领,专用设备,8.78,%,DESC,收益指标；需检查分红可持续性
股息率最高,9,600983.SH,惠而浦,白色家电,8.7,%,DESC,收益指标；需检查分红可持续性
股息率最高,10,600866.SH,星湖科技,饲料,8.68,%,DESC,收益指标；需检查分红可持续性
股息率最高,11,002441.SZ,众业达,电网设备,8.51,%,DESC,收益指标；需检查分红可持续性
股息率最高,12,600153.SH,建发股份,物流,8.5,%,DESC,收益指标；需检查分红可持续性
股息率最高,13,603551.SH,奥普科技,厨卫电器,8.48,%,DESC,收益指标；需检查分红可持续性
股息率最高,14,002233.SZ,塔牌集团,水泥,8.4,%,DESC,收益指标；需检查分红可持续性
股息率最高,15,600861.SH,北京人力,专业服务,8.15,%,DESC,收益指标；需检查分红可持续性
股息率最高,16,000915.SZ,华特达因,化学制药,7.96,%,DESC,收益指标；需检查分红可持续性
股息率最高,17,002612.SZ,朗姿股份,服装家纺,7.95,%,DESC,收益指标；需检查分红可持续性
股息率最高,18,601216.SH,君正集团,化学原料,7.93,%,DESC,收益指标；需检查分红可持续性
股息率最高,19,300770.SZ,新媒股份,广播电视,7.91,%,DESC,收益指标；需检查分红可持续性
股息率最高,20,002004.SZ,华邦健康,农用化工,7.77,%,DESC,收益指标；需检查分红可持续性
换手率最高,1,601123.SH,N马矿,冶钢原料,81.39,%,DESC,交易活跃度指标，不属于纯财务质量指标
换手率最高,2,301697.SZ,N贝特利,电子化学品,77.8,%,DESC,交易活跃度指标，不属于纯财务质量指标
换手率最高,3,301218.SZ,华是科技,软件服务,46.03,%,DESC,交易活跃度指标，不属于纯财务质量指标
换手率最高,4,301655.SZ,绿控传动,汽车零部件,44.32,%,DESC,交易活跃度指标，不属于纯财务质量指标
换手率最高,5,920288.BJ,华大海天,造纸,42.7,%,DESC,交易活跃度指标，不属于纯财务质量指标
换手率最高,6,002418.SZ,康盛股份,家电零部件,41.22,%,DESC,交易活跃度指标，不属于纯财务质量指标
换手率最高,7,600613.SH,神奇制药,中药,39.18,%,DESC,交易活跃度指标，不属于纯财务质量指标
换手率最高,8,920895.BJ,花溪科技,专用设备,38.03,%,DESC,交易活跃度指标，不属于纯财务质量指标
换手率最高,9,600227.SH,赤天化,农用化工,37.39,%,DESC,交易活跃度指标，不属于纯财务质量指标
换手率最高,10,300189.SZ,神农种业,种植业,37.26,%,DESC,交易活跃度指标，不属于纯财务质量指标
换手率最高,11,000560.SZ,我爱我家,房产服务,37.08,%,DESC,交易活跃度指标，不属于纯财务质量指标
换手率最高,12,600721.SH,百花医药,医疗服务,37.07,%,DESC,交易活跃度指标，不属于纯财务质量指标
换手率最高,13,920021.BJ,流金科技,广播电视,36.96,%,DESC,交易活跃度指标，不属于纯财务质量指标
换手率最高,14,603395.SH,红四方,农用化工,36.86,%,DESC,交易活跃度指标，不属于纯财务质量指标
换手率最高,15,002886.SZ,沃特股份,塑料,36.68,%,DESC,交易活跃度指标，不属于纯财务质量指标
换手率最高,16,002742.SZ,冀衡医药,化学制药,36.62,%,DESC,交易活跃度指标，不属于纯财务质量指标
换手率最高,17,301591.SZ,肯特股份,塑料,35.95,%,DESC,交易活跃度指标，不属于纯财务质量指标
换手率最高,18,002354.SZ,天娱数科,广告营销,34.85,%,DESC,交易活跃度指标，不属于纯财务质量指标
换手率最高,19,600103.SH,青山纸业,造纸,33.97,%,DESC,交易活跃度指标，不属于纯财务质量指标
换手率最高,20,300364.SZ,中文在线,出版业,33.26,%,DESC,交易活跃度指标，不属于纯财务质量指标
前一交易日成交额最高,1,688825.SH,长鑫科技,半导体,2093465.8,万元,DESC,流动性指标，不属于纯财务质量指标
前一交易日成交额最高,2,300308.SZ,中际旭创,通信设备,1892570.11,万元,DESC,流动性指标，不属于纯财务质量指标
前一交易日成交额最高,3,600183.SH,生益科技,元器件,1574221.72,万元,DESC,流动性指标，不属于纯财务质量指标
前一交易日成交额最高,4,688256.SH,寒武纪,半导体,1314361.75,万元,DESC,流动性指标，不属于纯财务质量指标
前一交易日成交额最高,5,600487.SH,亨通光电,通信设备,1273848.32,万元,DESC,流动性指标，不属于纯财务质量指标
前一交易日成交额最高,6,603986.SH,兆易创新,半导体,1267131.8,万元,DESC,流动性指标，不属于纯财务质量指标
前一交易日成交额最高,7,300502.SZ,新易盛,通信设备,1238937.7,万元,DESC,流动性指标，不属于纯财务质量指标
前一交易日成交额最高,8,300274.SZ,阳光电源,光伏设备,1011277.62,万元,DESC,流动性指标，不属于纯财务质量指标
前一交易日成交额最高,9,000938.SZ,紫光股份,IT设备,1004971.83,万元,DESC,流动性指标，不属于纯财务质量指标
